symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de,earnings_yield
8020,2023,500000000.0000,534050000.0000,38188000.0000,0.1026,0.0393,22.9211,0.760000,7.801800,0.004000,0.04362792
8020,2024,500000000.0000,766862000.0000,26889000.0000,0.0654,0.0253,30.4074,0.540000,8.655500,0.001600,0.03288673
8030,2021,1050000000.0000,2369254000.0000,-140588000.0000,-0.1266,-0.0404,-12.8209,-1.340000,10.578500,0.007700,
8030,2022,1050000000.0000,2339665000.0000,-396870000.0000,-0.4367,-0.1216,-2.2804,-3.780000,6.730600,0.005100,
8030,2023,1050000000.0000,2202586000.0000,201472000.0000,0.2481,0.0654,7.5000,1.920000,8.737300,0.011900,0.13333333
8030,2024,1050000000.0000,1854392000.0000,101994000.0000,0.1048,0.0340,26.8557,0.970000,9.796600,0.002000,0.03723604
8040,2021,600000000.0000,1489375863.0000,5619429.0000,0.0074,0.0025,287.2222,0.090000,12.597200,0.001300,0.00348163
8040,2022,600000000.0000,1304372651.0000,8575802.0000,0.0114,0.0040,93.5714,0.140000,12.428000,0.008200,0.01068703
8040,2023,600000000.0000,1354701964.0000,36986892.0000,0.0478,0.0176,27.9032,0.620000,13.396800,0.003800,0.03583818
8040,2024,600000000.0000,1235274655.0000,15167075.0000,0.0188,0.0072,58.9231,0.260000,13.675100,0.003900,0.01697127
8050,2021,250000000.0000,473425000.0000,-112410000.0000,-1.1536,-0.1969,-4.5852,-6.071600,5.263500,0.208700,
8050,2022,100000000.0000,605954000.0000,-38868000.0000,-0.4911,-0.0628,-4.0371,-2.102800,3.287300,0.303900,
8050,2023,200000000.0000,601270000.0000,51302000.0000,0.3860,0.0697,7.2388,2.680000,8.451700,0.096500,0.13814444
8050,2024,200000000.0000,491180000.0000,30123000.0000,0.1312,0.0388,14.8293,1.230000,10.486400,0.072600,0.06743407
8060,2021,646397000.0000,1527616000.0000,-122054000.0000,-0.1379,-0.0506,-12.0099,-1.580400,11.446500,0.006300,
8060,2022,850583000.0000,2471436000.0000,-68080000.0000,-0.0680,-0.0227,-17.4678,-0.827800,10.975200,0.005300,
8060,2023,850583000.0000,2838794000.0000,147977000.0000,0.1241,0.0385,13.0759,1.450000,12.469600,0.002200,0.07647657
8060,2024,1275583000.0000,2941895000.0000,64303000.0000,0.0416,0.0145,31.2258,0.620000,14.299500,0.011800,0.03202480
8070,2021,400000000.0000,452286000.0000,29022000.0000,0.0523,0.0288,38.9231,0.650000,13.873000,1.130715,0.02569168
8070,2022,638525000.0000,1276441000.0000,-18225000.0000,-0.0210,-0.0105,-54.1379,-0.290000,18.561100,1.999046,
